Altezza;Peso;Giocatore;Squadra
187;76;Storari;Cagliari
178;71;Crescenzi;Pescara
175;75;Dimarco;Empoli
198;84;Simy;Crotone
186;77;Pellegrini;Sassuolo
167;60;Giaccherini;Napoli
186;81;Pelagotti;Empoli
192;75;Tozzo;Sampdoria
181;74;Salzano;Crotone
184;75;Parolo;Lazio
181;72;Maxi Olivera;Fiorentina
180;82;Totti;Roma
177;73;Bastien;Chievo
183;70;Barreca;Torino
184;73;Jankto;Udinese
190;84;Munari;Cagliari
183;77;Pavlovic;Sampdoria
175;76;Pellissier;Chievo
190;80;Budimir;Sampdoria
179;76;Marchisio;Juventus
195;92;Aldegani;Pescara
183;74;Luis Alberto;Lazio
180;73;Nalini;Crotone
189;85;Benatia;Juventus
193;84;Dzeko;Roma
182;76;Lemina;Juventus
182;76;Manaj;Pescara
185;80;Gamberini;Chievo
185;74;El Kaddouri;Napoli
178;78;Asamoah;Juventus
180;70;Cataldi;Lazio
185;75;Scuffet;Udinese
186;70;Radu;Inter
184;78;Frey;Chievo
184;73;Ionita;Cagliari
189;90;De Maio;Fiorentina
188;85;Zuparic;Pescara
185;84;Silvestre;Sampdoria
178;72;El Shaarawy;Roma
181;76;Ansaldi;Inter
180;72;Lo Faso;Palermo
185;70;Tumminello;Roma
191;80;Hart;Torino
184;65;Bittante;Cagliari
183;78;Lulic;Lazio
174;73;Marilungo;Empoli
178;70;Sturaro;Juventus
175;63;Ricci;Sassuolo
175;73;Borja Valero;Fiorentina
186;78;Cristante;Pescara
193;89;Gabriel;Milan
184;77;Acquafresca;Bologna
181;77;Poli;Milan
177;77;Palombo;Sampdoria
180;73;Taider;Bologna
174;69;Falque;Torino
193;82;Maksimovic;Napoli
189;82;Ferrari;Crotone
193;89;Bizzarri;Pescara
185;73;Tchanturia;Empoli
192;84;Helander;Bologna
191;86;Tachtsidis;Cagliari
183;70;Ferrari;Bologna
180;75;Vivani;Bologna
182;73;Costa;Empoli
187;86;Krajnc;Sampdoria
191;87;Rajkovic;Palermo
182;78;Murillo;Inter
182;82;Molinaro;Torino
183;78;Lirola;Sassuolo
184;73;Saponara;Empoli
181;75;Sala;Sampdoria
190;80;Seculin;Chievo
171;65;Politano;Sassuolo
185;82;Munoz;Genoa
191;87;Wagué;Udinese
177;73;Bruno Peres;Roma
182;70;Baselli;Torino
191;87;Masina;Bologna
170;68;Nagatomo;Inter
186;80;Djordjevic;Lazio
175;65;Arras;Cagliari
178;72;Mati Fernandez;Milan
178;66;Laxalt;Genoa
174;65;Mounier;Bologna
190;88;Maxi Lopez;Torino
183;78;Gazzola;Sassuolo
180;73;Abate;Milan
167;64;Mitrita;Pescara
184;79;Cionek;Palermo
173;76;Evra;Juventus
192;83;Miangue;Inter
186;78;Pasalic;Milan
177;71;Embalo;Palermo
188;77;Perin;Genoa
170;68;Bentivegna;Palermo
175;70;Memushaj;Pescara
175;71;Vitturini;Pescara
188;84;Alvarez;Sampdoria
191;85;Dussenne;Crotone
186;78;Miranda;Inter
185;75;Locatelli;Milan
185;75;Sepe;Napoli
191;76;Milinkovic-Savic;Lazio
184;78;Gazzi;Palermo
179;76;Trajkovski;Palermo
187;78;Pinilla;Atalanta
183;75;Dessena;Cagliari
183;79;Matos;Udinese
175;71;Morrison;Lazio
184;75;De Ceglie;Juventus
192;88;Acerbi;Sassuolo
188;85;Gnahoré;Crotone
179;72;Joao Mario;Inter
180;75;Bonaventura;Milan
181;74;Dramé;Atalanta
184;78;Martella;Crotone
182;81;Cacciatore;Chievo
181;72;Djuricic;Sampdoria
170;67;Mario Rui;Roma
188;82;Peluso;Sassuolo
181;79;Bovo;Torino
183;74;Milic;Fiorentina
